Area_code,State,Profit,Margin,Sales,COGS,Total_expenses,Marketing,Inventory,Date,Product_Type
203,Connecticut,47,75,145,55,47,18,312,01-01-2011,Espresso
203,Connecticut,39,71,132,53,45,17,299,03-01-2011,Espresso
203,Connecticut,22,56,97,42,37,13,384,08-01-2011,Espresso
203,Connecticut,31,64,118,47,43,15,375,10-01-2011,Espresso
203,Connecticut,39,71,132,53,45,17,380,11-01-2011,Espresso
203,Connecticut,31,65,121,49,44,16,392,12-01-2011,Espresso
203,Connecticut,39,104,189,85,65,32,476,03-01-2010,Herbal Tea
203,Connecticut,32,93,169,76,61,28,580,06-01-2010,Herbal Tea
203,Connecticut,50,98,190,80,64,30,494,04-01-2011,Herbal Tea
203,Connecticut,36,83,160,67,59,25,599,09-01-2011,Herbal Tea
203,Connecticut,50,98,189,79,64,30,593,10-01-2011,Herbal Tea
203,Connecticut,46,89,163,74,43,22,949,03-01-2010,Herbal Tea
203,Connecticut,68,90,176,75,44,23,956,02-01-2011,Herbal Tea
203,Connecticut,52,80,147,68,39,21,998,05-01-2011,Herbal Tea
203,Connecticut,49,74,145,62,41,19,1059,09-01-2011,Herbal Tea
203,Connecticut,52,77,151,65,42,20,1053,10-01-2011,Herbal Tea
203,Connecticut,53,76,148,63,40,19,1075,12-01-2011,Herbal Tea
203,Connecticut,43,68,115,47,25,13,821,04-01-2010,Tea
203,Connecticut,32,52,87,35,20,9,894,07-01-2010,Tea
203,Connecticut,28,49,83,34,21,9,890,08-01-2010,Tea
203,Connecticut,41,64,108,44,23,12,886,09-01-2010,Tea
203,Connecticut,46,55,91,37,20,10,876,06-01-2011,Tea
206,Washington,38,77,130,53,39,16,338,01-01-2010,Coffee
206,Washington,48,89,150,61,41,19,325,03-01-2010,Coffee
206,Washington,56,99,167,68,43,21,438,10-01-2010,Coffee
206,Washington,59,77,145,53,41,16,338,01-01-2011,Coffee
206,Washington,80,100,180,69,46,22,340,04-01-2011,Coffee
206,Washington,91,114,191,79,45,25,425,06-01-2011,Coffee
206,Washington,15,128,220,92,113,83,541,02-01-2010,Coffee
206,Washington,16,132,227,95,116,86,532,03-01-2010,Coffee
206,Washington,17,132,227,95,115,86,554,04-01-2010,Coffee
206,Washington,24,154,264,110,130,100,665,06-01-2010,Coffee
206,Washington,34,184,317,133,150,120,705,08-01-2010,Coffee
206,Washington,24,132,242,95,116,86,532,03-01-2011,Coffee
206,Washington,33,154,262,110,121,100,665,06-01-2011,Coffee
206,Washington,43,173,294,124,132,112,717,07-01-2011,Coffee
206,Washington,24,130,238,93,114,84,692,09-01-2011,Coffee
206,Washington,25,134,245,96,117,87,683,10-01-2011,Coffee
206,Washington,30,145,266,105,125,95,716,12-01-2011,Coffee
206,Washington,0,87,150,63,87,57,506,03-01-2010,Tea
206,Washington,-8,61,105,44,69,39,617,08-01-2010,Tea
206,Washington,0,84,144,60,84,54,606,10-01-2010,Tea
206,Washington,1,86,147,61,85,55,613,11-01-2010,Tea
206,Washington,0,87,160,63,87,57,521,04-01-2011,Tea
206,Washington,3,90,153,64,82,58,551,05-01-2011,Tea
206,Washington,3,87,159,62,85,56,612,09-01-2011,Tea
206,Washington,0,84,153,60,84,54,606,10-01-2011,Tea
206,Washington,16,72,130,58,56,22,338,05-01-2010,Espresso
206,Washington,18,74,133,59,56,22,403,07-01-2010,Espresso
206,Washington,20,66,134,54,56,20,312,01-01-2011,Espresso
206,Washington,18,65,126,53,53,20,306,02-01-2011,Espresso
206,Washington,22,70,135,57,55,21,313,04-01-2011,Espresso
206,Washington,19,67,129,54,54,20,391,11-01-2011,Espresso
206,Washington,39,81,150,69,42,21,965,01-01-2010,Espresso
206,Washington,39,82,151,69,43,21,965,04-01-2010,Espresso
206,Washington,47,92,170,78,45,24,995,05-01-2010,Espresso
206,Washington,71,123,226,103,52,31,1073,08-01-2010,Espresso
206,Washington,53,99,182,83,46,25,1063,09-01-2010,Espresso
206,Washington,45,89,164,75,44,23,1063,11-01-2010,Espresso
206,Washington,59,84,165,71,44,22,950,03-01-2011,Espresso
206,Washington,58,82,161,69,43,21,965,04-01-2011,Espresso
206,Washington,65,92,168,78,42,24,995,05-01-2011,Espresso
206,Washington,79,99,194,83,46,25,1063,09-01-2011,Espresso
206,Washington,115,186,310,124,71,40,961,01-01-2010,Herbal Tea
206,Washington,121,195,325,130,74,42,945,02-01-2010,Herbal Tea
206,Washington,115,186,309,123,71,40,932,03-01-2010,Herbal Tea
206,Washington,98,165,275,110,67,36,1020,05-01-2010,Herbal Tea
206,Washington,79,140,232,92,61,30,1102,06-01-2010,Herbal Tea
206,Washington,115,188,313,125,73,41,1119,10-01-2010,Herbal Tea
206,Washington,122,195,325,130,73,42,1134,11-01-2010,Herbal Tea
206,Washington,180,195,346,130,74,42,945,02-01-2011,Herbal Tea
206,Washington,157,176,311,116,70,38,962,04-01-2011,Herbal Tea
206,Washington,181,195,346,130,73,42,1134,11-01-2011,Herbal Tea
206,Washington,36,59,99,40,23,11,793,05-01-2010,Herbal Tea
206,Washington,50,59,98,40,21,11,793,05-01-2011,Herbal Tea
206,Washington,62,105,167,62,43,19,346,03-01-2010,Tea
206,Washington,57,99,159,60,42,18,329,10-01-2010,Tea
206,Washington,98,109,185,65,43,20,372,02-01-2011,Tea
206,Washington,57,78,124,47,34,14,371,06-01-2011,Tea
206,Washington,80,94,161,57,40,17,349,09-01-2011,Tea
206,Washington,41,81,137,56,40,17,382,02-01-2010,Tea
206,Washington,24,59,99,40,35,12,443,06-01-2010,Tea
206,Washington,20,54,90,36,34,11,458,08-01-2010,Tea
206,Washington,34,71,120,49,37,15,454,11-01-2010,Tea
206,Washington,75,89,168,61,43,19,390,01-01-2011,Tea
206,Washington,56,77,137,52,39,16,376,03-01-2011,Tea
206,Washington,45,68,121,46,38,14,388,04-01-2011,Tea
206,Washington,33,59,98,40,33,12,443,06-01-2011,Tea
206,Washington,28,54,89,36,32,11,458,08-01-2011,Tea
206,Washington,50,71,128,49,37,15,454,11-01-2011,Tea
206,Washington,32,58,103,45,26,14,605,04-01-2010,Espresso
206,Washington,34,62,110,48,28,15,599,05-01-2010,Espresso
206,Washington,34,62,110,48,28,15,593,06-01-2010,Espresso
206,Washington,36,65,115,50,29,16,587,07-01-2010,Espresso
206,Washington,17,39,69,30,22,9,581,08-01-2010,Espresso
206,Washington,21,43,76,33,22,10,577,09-01-2010,Espresso
206,Washington,10,29,51,22,19,7,573,10-01-2010,Espresso
206,Washington,55,62,123,48,28,15,623,01-01-2011,Espresso
206,Washington,47,62,109,48,26,15,599,05-01-2011,Espresso
206,Washington,50,65,114,50,27,16,587,07-01-2011,Espresso
206,Washington,15,29,54,22,19,7,573,10-01-2011,Espresso
206,Washington,19,32,60,24,19,7,567,12-01-2011,Espresso
209,California,-84,-21,106,127,63,40,1215,05-01-2010,Coffee
209,California,-138,-67,87,154,71,49,1832,07-01-2010,Coffee
209,California,-3,50,162,95,55,30,608,01-01-2011,Coffee
209,California,-131,-25,109,127,63,40,2947,12-01-2011,Coffee
209,California,276,428,712,284,152,99,2108,04-01-2010,Coffee
209,California,410,428,759,284,152,99,2108,04-01-2011,Coffee
209,California,88,114,201,75,55,24,659,11-01-2011,Tea
209,California,25,168,289,121,143,109,788,05-01-2010,Espresso
209,California,216,329,576,247,113,81,1744,12-01-2010,Espresso
209,California,321,329,614,247,113,81,1744,12-01-2011,Espresso
209,California,148,137,247,95,37,26,809,02-01-2011,Herbal Tea
209,California,196,295,546,251,99,77,1268,09-01-2010,Herbal Tea
209,California,291,295,582,251,99,77,1268,09-01-2011,Herbal Tea
209,California,26,51,90,39,25,12,541,10-01-2010,Herbal Tea
209,California,120,163,276,113,43,31,897,06-01-2010,Tea
209,California,79,111,187,76,32,21,580,10-01-2010,Tea
210,Texas,192,288,532,244,96,75,1213,06-01-2010,Coffee
210,Texas,112,152,256,104,40,29,952,07-01-2010,Espresso
210,Texas,133,179,302,123,46,34,915,10-01-2010,Espresso
210,Texas,184,178,298,123,42,34,941,08-01-2011,Espresso
210,Texas,48,73,123,50,25,14,589,11-01-2010,Espresso
210,Texas,26,51,84,34,30,10,428,08-01-2011,Herbal Tea
212,New York,83,117,198,81,34,22,460,04-01-2010,Tea
212,New York,84,80,150,54,27,15,456,01-01-2011,Tea
212,New York,123,124,208,86,33,24,499,05-01-2011,Tea
212,New York,-224,-69,66,135,155,122,3641,12-01-2010,Espresso
212,New York,-304,-59,70,125,146,113,1382,04-01-2011,Espresso
212,New York,-392,-95,77,173,176,156,2615,08-01-2011,Espresso
212,New York,316,369,647,284,130,107,1565,08-01-2011,Herbal Tea
212,New York,-238,-139,112,251,99,77,3948,09-01-2010,Herbal Tea
212,New York,138,185,312,127,47,35,1007,07-01-2010,Tea
212,New York,190,185,309,127,44,35,1007,07-01-2011,Tea
212,New York,187,283,543,260,96,72,1271,05-01-2010,Espresso
212,New York,646,526,815,239,91,66,1197,10-01-2011,Espresso
213,California,364,387,687,258,142,90,2067,02-01-2011,Coffee
213,California,508,546,902,364,166,127,2617,08-01-2011,Coffee
213,California,349,374,664,249,139,87,2580,11-01-2011,Coffee
213,California,47,101,168,67,54,22,677,12-01-2010,Tea
213,California,203,312,546,234,109,77,1310,01-01-2010,Espresso
213,California,220,336,589,253,116,83,1686,09-01-2010,Espresso
213,California,292,304,567,228,107,75,1691,11-01-2011,Espresso
213,California,84,117,198,81,33,22,984,11-01-2010,Herbal Tea
213,California,165,253,467,214,88,66,923,03-01-2010,Herbal Tea
213,California,174,265,490,225,91,69,1272,11-01-2010,Herbal Tea
213,California,52,68,119,52,28,17,554,08-01-2011,Herbal Tea
213,California,128,172,290,118,44,33,930,11-01-2010,Tea
213,California,230,266,527,266,92,74,1819,07-01-2011,Espresso
213,California,230,266,527,266,92,74,1797,08-01-2011,Espresso
214,Texas,197,295,546,251,98,77,1268,09-01-2010,Coffee
214,Texas,70,109,193,84,39,27,603,03-01-2010,Coffee
214,Texas,26,51,90,39,25,12,541,10-01-2010,Coffee
214,Texas,52,79,133,54,27,15,601,12-01-2010,Espresso
214,Texas,119,112,201,77,32,21,449,02-01-2011,Espresso
214,Texas,33,80,140,60,47,19,329,02-01-2010,Herbal Tea
214,Texas,31,77,134,57,46,18,323,03-01-2010,Herbal Tea
214,Texas,28,63,109,47,40,15,420,07-01-2011,Herbal Tea
214,Texas,24,60,101,41,36,13,435,12-01-2010,Herbal Tea
216,Ohio,37,71,122,52,41,17,361,05-01-2011,Coffee
216,Ohio,42,72,133,53,44,17,410,09-01-2011,Coffee
216,Ohio,-5,71,122,51,76,46,503,10-01-2010,Coffee
216,Ohio,81,146,291,145,65,40,1304,07-01-2010,Espresso
216,Ohio,138,163,346,162,70,45,1091,04-01-2011,Espresso
216,Ohio,116,149,295,149,60,41,1156,05-01-2011,Espresso
216,Ohio,112,146,288,145,60,40,1304,07-01-2011,Espresso
216,Ohio,15,65,117,53,50,20,361,05-01-2011,Espresso
216,Ohio,11,60,108,49,48,18,414,08-01-2011,Espresso
216,Ohio,16,32,53,21,16,5,454,04-01-2010,Herbal Tea
216,Ohio,12,26,44,18,16,5,478,06-01-2011,Herbal Tea
216,Ohio,67,116,200,84,49,26,500,01-01-2010,Tea
217,Illinois,111,201,345,144,90,47,862,01-01-2010,Coffee
217,Illinois,119,213,367,154,94,50,829,03-01-2010,Coffee
217,Illinois,156,265,456,191,109,63,865,04-01-2010,Coffee
217,Illinois,150,222,376,154,72,49,833,07-01-2010,Coffee
217,Illinois,136,139,262,95,55,30,608,01-01-2011,Coffee
217,Illinois,220,335,587,252,115,83,1316,04-01-2010,Espresso
217,Illinois,313,324,604,243,113,80,1260,03-01-2011,Espresso
217,Illinois,149,239,478,239,90,66,1464,04-01-2010,Espresso
217,Illinois,68,107,190,83,39,27,584,05-01-2010,Herbal Tea
217,Illinois,53,80,134,54,27,15,456,01-01-2010,Tea
217,Illinois,105,145,245,100,40,28,598,08-01-2010,Tea
217,Illinois,78,111,187,76,33,21,580,10-01-2010,Tea
217,Illinois,83,80,150,54,28,15,456,01-01-2011,Tea
224,Illinois,225,271,463,196,100,64,1167,08-01-2011,Coffee
224,Illinois,259,387,678,291,128,96,1742,07-01-2010,Espresso
224,Illinois,196,304,532,228,108,75,1691,11-01-2010,Espresso
224,Illinois,91,126,213,87,35,24,756,03-01-2010,Herbal Tea
224,Illinois,95,132,223,91,37,25,777,04-01-2010,Herbal Tea
224,Illinois,62,100,178,78,38,25,593,04-01-2010,Herbal Tea
224,Illinois,157,139,262,95,40,26,821,01-01-2011,Herbal Tea
225,Louisiana,30,51,85,34,21,9,777,01-01-2010,Coffee
225,Louisiana,29,49,82,33,20,9,768,03-01-2010,Coffee
225,Louisiana,47,71,119,48,24,13,829,10-01-2010,Coffee
225,Louisiana,44,68,115,47,24,13,834,11-01-2010,Coffee
225,Louisiana,45,51,92,35,21,9,776,04-01-2011,Coffee
225,Louisiana,55,64,106,43,22,12,822,06-01-2011,Coffee
225,Louisiana,45,70,118,48,25,13,851,10-01-2010,Coffee
225,Louisiana,31,51,85,34,20,9,863,12-01-2010,Coffee
225,Louisiana,80,85,143,59,25,16,842,06-01-2011,Coffee
225,Louisiana,45,84,133,49,39,15,342,04-01-2010,Espresso
225,Louisiana,44,82,130,48,38,14,351,05-01-2010,Espresso
225,Louisiana,41,78,125,47,37,14,371,06-01-2010,Espresso
225,Louisiana,30,65,104,39,35,12,380,07-01-2010,Espresso
225,Louisiana,49,88,141,53,39,16,321,11-01-2010,Espresso
225,Louisiana,109,113,201,67,45,20,400,01-01-2011,Espresso
225,Louisiana,96,109,185,65,44,20,372,02-01-2011,Espresso
225,Louisiana,86,99,169,60,41,18,329,10-01-2011,Espresso
225,Louisiana,46,66,114,41,35,12,320,12-01-2011,Espresso
225,Louisiana,31,68,114,46,37,14,388,04-01-2010,Espresso
225,Louisiana,21,54,90,36,33,11,462,07-01-2010,Espresso
225,Louisiana,34,71,120,49,37,15,454,11-01-2010,Espresso
225,Louisiana,27,63,106,43,36,13,466,12-01-2010,Espresso
225,Louisiana,39,65,109,45,34,14,410,05-01-2011,Espresso
225,Louisiana,32,59,98,40,33,12,443,06-01-2011,Espresso
225,Louisiana,29,54,89,36,31,11,462,07-01-2011,Espresso
225,Louisiana,36,63,111,48,27,15,593,06-01-2010,Herbal Tea
225,Louisiana,87,133,236,103,46,33,564,10-01-2010,Herbal Tea
225,Louisiana,77,120,214,94,43,31,540,12-01-2010,Herbal Tea
225,Louisiana,42,107,193,86,65,32,484,02-01-2010,Herbal Tea
225,Louisiana,25,83,150,67,58,25,599,09-01-2010,Herbal Tea
225,Louisiana,39,88,159,72,56,27,606,08-01-2011,Herbal Tea
225,Louisiana,50,98,189,79,64,30,593,10-01-2011,Herbal Tea
225,Louisiana,1,87,160,63,86,57,187,03-01-2011,Espresso
225,Louisiana,-4,75,127,53,73,48,-267,06-01-2011,Espresso
225,Louisiana,-8,66,112,47,67,42,-395,07-01-2011,Espresso
225,Louisiana,-4,76,140,55,79,49,-1053,12-01-2011,Espresso
234,Ohio,19,62,108,46,43,15,415,08-01-2010,Coffee
234,Ohio,49,79,147,59,46,19,411,11-01-2011,Coffee
234,Ohio,43,73,135,54,44,17,424,12-01-2011,Coffee
234,Ohio,19,51,85,34,32,10,428,08-01-2010,Coffee
234,Ohio,33,61,102,42,34,13,384,05-01-2011,Coffee
234,Ohio,26,55,92,38,33,12,414,06-01-2011,Coffee
234,Ohio,25,51,84,34,31,10,432,07-01-2011,Coffee
234,Ohio,47,68,121,46,36,14,424,11-01-2011,Coffee
234,Ohio,-3,74,126,52,77,47,509,09-01-2010,Coffee
234,Ohio,-3,75,127,53,72,48,458,05-01-2011,Coffee
234,Ohio,-8,63,106,44,64,40,496,06-01-2011,Coffee
234,Ohio,-7,71,130,51,76,46,503,10-01-2011,Coffee
234,Ohio,98,170,340,170,72,47,1073,02-01-2010,Espresso
234,Ohio,154,171,382,170,76,47,1091,01-01-2011,Espresso
234,Ohio,159,182,387,181,75,50,1283,11-01-2011,Espresso
234,Ohio,15,71,129,58,56,22,325,03-01-2010,Espresso
234,Ohio,15,32,53,21,17,5,449,03-01-2010,Herbal Tea
234,Ohio,22,32,56,21,17,5,449,03-01-2011,Herbal Tea
234,Ohio,24,32,56,21,16,5,454,04-01-2011,Herbal Tea
234,Ohio,79,141,235,94,62,31,697,05-01-2010,Tea
234,Ohio,103,172,286,114,69,37,810,08-01-2010,Tea
234,Ohio,65,123,205,82,58,27,788,10-01-2010,Tea
234,Ohio,144,155,285,112,58,34,502,04-01-2011,Tea
234,Ohio,120,134,245,96,53,29,666,09-01-2011,Tea
239,Florida,52,77,130,53,25,14,803,05-01-2010,Tea
239,Florida,44,48,91,33,21,9,777,01-01-2011,Tea
239,Florida,80,85,143,59,25,16,842,06-01-2011,Tea
239,Florida,80,85,143,59,25,16,870,07-01-2011,Tea
239,Florida,9,111,190,79,102,72,551,01-01-2010,Espresso
239,Florida,18,134,230,96,116,87,683,10-01-2010,Espresso
239,Florida,14,111,213,79,107,72,551,01-01-2011,Espresso
239,Florida,44,173,294,124,131,112,717,07-01-2011,Espresso
239,Florida,60,116,202,86,56,28,547,10-01-2010,Espresso
239,Florida,48,62,109,48,25,15,593,06-01-2011,Herbal Tea
239,Florida,13,66,120,54,53,20,312,01-01-2010,Herbal Tea
239,Florida,47,92,170,78,45,24,995,05-01-2010,Herbal Tea
239,Florida,76,103,187,86,45,26,1081,07-01-2011,Herbal Tea
239,Florida,44,48,90,32,21,8,821,01-01-2011,Tea
239,Florida,52,62,104,43,22,12,864,06-01-2011,Tea
253,Washington,58,104,175,71,46,22,373,05-01-2010,Coffee
253,Washington,58,104,176,72,46,23,461,12-01-2010,Coffee
253,Washington,80,104,173,71,43,22,373,05-01-2011,Coffee
253,Washington,104,125,209,86,46,27,463,07-01-2011,Coffee
253,Washington,74,93,166,63,43,20,446,11-01-2011,Coffee
253,Washington,16,129,221,92,113,83,599,05-01-2010,Coffee
253,Washington,16,130,224,94,114,85,694,11-01-2010,Coffee
253,Washington,22,128,234,92,113,83,541,02-01-2011,Coffee
253,Washington,22,129,219,92,105,83,599,05-01-2011,Coffee
253,Washington,3,90,155,65,87,58,513,02-01-2010,Tea
253,Washington,0,87,150,63,87,57,521,04-01-2010,Tea
253,Washington,-5,66,113,47,71,42,622,07-01-2010,Tea
253,Washington,-11,61,104,44,64,39,617,08-01-2011,Tea
253,Washington,13,66,120,54,53,20,312,01-01-2010,Espresso
253,Washington,12,65,118,53,53,20,306,02-01-2010,Espresso
253,Washington,12,66,120,54,54,20,301,03-01-2010,Espresso
253,Washington,15,70,127,57,55,21,313,04-01-2010,Espresso
253,Washington,23,82,149,67,59,25,391,09-01-2010,Espresso
253,Washington,16,70,126,56,54,21,385,10-01-2010,Espresso
253,Washington,49,96,177,81,47,25,1046,06-01-2010,Espresso
253,Washington,56,103,189,86,47,26,1081,07-01-2010,Espresso
253,Washington,48,94,174,80,46,24,1055,10-01-2010,Espresso
253,Washington,51,96,176,80,45,24,1079,12-01-2010,Espresso
253,Washington,106,176,292,116,70,38,962,04-01-2010,Herbal Tea
253,Washington,91,155,258,103,64,33,1130,09-01-2010,Herbal Tea
253,Washington,109,140,230,92,57,30,1102,06-01-2011,Herbal Tea
253,Washington,104,135,223,90,56,29,1139,08-01-2011,Herbal Tea
253,Washington,156,174,308,115,69,37,1166,12-01-2011,Herbal Tea
253,Washington,45,70,118,48,25,13,839,08-01-2010,Herbal Tea
253,Washington,55,64,106,43,22,12,822,06-01-2011,Herbal Tea
253,Washington,65,68,123,47,24,13,834,11-01-2011,Herbal Tea
253,Washington,45,84,133,49,39,15,342,04-01-2010,Tea
253,Washington,42,79,126,47,37,14,366,08-01-2010,Tea
253,Washington,109,113,201,67,45,20,400,01-01-2011,Tea
253,Washington,67,84,142,49,39,15,342,04-01-2011,Tea
253,Washington,45,66,114,41,36,12,320,12-01-2011,Tea
253,Washington,48,89,150,61,41,19,390,01-01-2010,Tea
253,Washington,38,77,129,52,39,16,376,03-01-2010,Tea
253,Washington,30,68,114,46,38,14,388,04-01-2010,Tea
253,Washington,42,63,113,43,35,13,466,12-01-2011,Tea
253,Washington,35,63,112,49,28,16,611,03-01-2010,Espresso
253,Washington,11,30,52,22,19,7,570,11-01-2010,Espresso
253,Washington,13,32,56,24,19,7,567,12-01-2010,Espresso
253,Washington,52,62,117,48,27,15,617,02-01-2011,Espresso
254,Texas,112,152,256,104,40,29,821,05-01-2010,Espresso
254,Texas,197,179,322,123,46,34,959,12-01-2011,Espresso
254,Texas,121,124,208,86,33,24,499,05-01-2011,Espresso
254,Texas,135,136,228,94,35,26,608,07-01-2011,Espresso
254,Texas,71,73,131,50,25,14,589,11-01-2011,Espresso
254,Texas,42,83,140,57,41,18,364,01-01-2010,Herbal Tea
254,Texas,65,83,157,57,43,18,364,01-01-2011,Herbal Tea
254,Texas,35,61,102,42,33,13,384,05-01-2011,Herbal Tea
254,Texas,26,51,84,34,30,10,432,07-01-2011,Herbal Tea
254,Texas,44,96,160,64,52,21,-161,05-01-2010,Espresso
262,Wisconsin,13,66,120,54,53,20,312,01-01-2010,Coffee
262,Wisconsin,12,65,118,53,53,20,306,02-01-2010,Coffee
262,Wisconsin,13,66,120,54,53,20,301,03-01-2010,Coffee
262,Wisconsin,17,72,130,58,55,22,338,05-01-2010,Coffee
262,Wisconsin,14,67,121,54,53,20,391,11-01-2010,Coffee
262,Wisconsin,19,66,128,54,53,20,301,03-01-2011,Coffee
262,Wisconsin,25,74,132,59,52,22,403,07-01-2011,Coffee
262,Wisconsin,21,67,129,54,53,20,391,11-01-2011,Coffee
262,Wisconsin,9,111,190,79,102,72,551,01-01-2010,Coffee
262,Wisconsin,17,132,227,95,115,86,532,03-01-2010,Coffee
262,Wisconsin,17,129,221,92,112,83,599,05-01-2010,Coffee
262,Wisconsin,32,173,297,124,141,112,717,07-01-2010,Coffee
262,Wisconsin,16,130,224,94,114,85,694,11-01-2010,Coffee
262,Wisconsin,23,129,219,92,104,83,599,05-01-2011,Coffee
262,Wisconsin,33,154,262,110,121,100,665,06-01-2011,Coffee
262,Wisconsin,30,145,266,105,125,95,716,12-01-2011,Coffee
262,Wisconsin,58,114,199,85,56,28,555,09-01-2010,Coffee
262,Wisconsin,51,103,180,77,52,25,557,11-01-2010,Coffee
262,Wisconsin,74,103,192,77,53,25,423,02-01-2011,Coffee
262,Wisconsin,86,112,208,83,54,27,433,04-01-2011,Coffee
262,Wisconsin,87,121,210,91,54,30,533,06-01-2011,Coffee
262,Wisconsin,98,130,225,97,55,32,575,07-01-2011,Coffee
262,Wisconsin,50,96,177,81,46,25,1046,06-01-2010,Espresso
262,Wisconsin,59,81,168,69,45,21,965,01-01-2011,Espresso
262,Wisconsin,62,84,164,70,42,21,957,02-01-2011,Espresso
262,Wisconsin,71,94,185,80,46,24,1055,10-01-2011,Espresso
262,Wisconsin,74,96,188,80,46,24,1079,12-01-2011,Espresso
262,Wisconsin,34,62,110,48,28,15,623,01-01-2010,Espresso
262,Wisconsin,35,62,110,48,27,15,599,05-01-2010,Espresso
262,Wisconsin,34,62,110,48,28,15,593,06-01-2010,Espresso
262,Wisconsin,18,39,69,30,21,9,581,08-01-2010,Espresso
262,Wisconsin,13,32,56,24,19,7,567,12-01-2010,Espresso
262,Wisconsin,50,63,119,49,29,16,611,03-01-2011,Espresso
262,Wisconsin,25,39,68,30,20,9,581,08-01-2011,Espresso
262,Wisconsin,15,29,54,22,19,7,573,10-01-2011,Espresso
262,Wisconsin,63,105,167,62,42,19,346,03-01-2010,Herbal Tea
262,Wisconsin,46,84,133,49,38,15,342,04-01-2010,Herbal Tea
262,Wisconsin,40,65,103,39,33,12,380,07-01-2011,Herbal Tea
262,Wisconsin,79,94,161,57,41,17,349,09-01-2011,Herbal Tea
262,Wisconsin,71,88,150,53,40,16,321,11-01-2011,Herbal Tea
262,Wisconsin,43,68,115,47,25,13,772,02-01-2010,Herbal Tea
262,Wisconsin,51,77,130,53,26,14,803,05-01-2010,Herbal Tea
262,Wisconsin,58,85,144,59,27,16,870,07-01-2010,Herbal Tea
262,Wisconsin,63,91,154,63,28,17,864,08-01-2010,Herbal Tea
262,Wisconsin,45,70,118,48,25,13,851,10-01-2010,Herbal Tea
262,Wisconsin,27,47,78,31,20,8,856,11-01-2010,Herbal Tea
262,Wisconsin,70,72,129,49,25,13,779,04-01-2011,Herbal Tea
262,Wisconsin,70,77,129,53,24,14,803,05-01-2011,Herbal Tea
262,Wisconsin,80,85,143,59,25,16,870,07-01-2011,Herbal Tea
262,Wisconsin,87,91,153,63,26,17,864,08-01-2011,Herbal Tea
262,Wisconsin,67,70,126,48,25,13,851,10-01-2011,Herbal Tea
262,Wisconsin,31,68,114,46,37,14,388,04-01-2010,Tea
262,Wisconsin,30,67,113,46,37,14,449,10-01-2010,Tea
262,Wisconsin,33,71,120,49,38,15,454,11-01-2010,Tea
262,Wisconsin,28,63,106,43,35,13,466,12-01-2010,Tea
262,Wisconsin,46,68,121,46,37,14,388,04-01-2011,Tea
262,Wisconsin,33,59,98,40,33,12,443,06-01-2011,Tea
262,Wisconsin,29,54,89,36,31,11,462,07-01-2011,Tea
262,Wisconsin,45,67,120,46,37,14,449,10-01-2011,Tea
262,Wisconsin,42,63,113,43,35,13,466,12-01-2011,Tea
262,Wisconsin,7,105,180,75,98,68,522,01-01-2010,Tea
262,Wisconsin,2,90,154,64,88,58,551,05-01-2010,Tea
262,Wisconsin,11,105,201,75,103,68,522,01-01-2011,Tea
262,Wisconsin,1,87,160,63,86,57,506,03-01-2011,Tea
262,Wisconsin,0,84,153,60,84,54,606,10-01-2011,Tea
262,Wisconsin,-4,76,140,55,79,49,627,12-01-2011,Tea
